#{"t_start": 1764568020.4978087, "env_id": "intersection-v1"}
r,l,t
9.0,9,305.84147
-4.0,2,305.954733
10.0,10,306.262087
10.0,10,306.615669
-1.680047,5,306.831035
9.0,9,307.29426
-1.0,5,307.471591
-2.702524,7,307.782048
-4.384506,10,308.151089
5.099286,12,308.943201
8.562943,11,309.543545
-0.841249,5,309.75905
0.0,6,310.086018
1.0,6,310.32016
0.0,6,310.498315
9.0,9,310.826983
7.626732,9,311.045385
8.243919,11,311.473398
-2.444964,6,311.649961
7.472952,11,312.11996
-2.436558,6,312.265962
8.615645,10,312.811033
8.618513,10,313.221604
9.0,9,313.55177
-2.373197,7,313.792463
-0.841249,5,314.019597
7.61852,9,314.206539
-1.0,6,314.407793
7.099876,13,314.970368
-5.0,1,315.030048
10.0,10,315.325989
0.158681,6,315.695216
9.0,9,315.995802
8.0,8,316.30437
8.0,10,316.649882
2.561354,13,317.078611
8.681208,11,317.405807
-2.0,7,317.737878
-2.0,4,317.842626
3.22871,13,318.540762
-2.676484,6,318.666529
-2.0,6,318.808806
7.552807,10,319.167982
-2.0,4,319.302781
-1.0,5,319.523278
-3.0,3,319.661772
0.700013,6,319.824023
1.615917,9,320.102791
8.615645,10,320.552859
-5.0,1,320.619725
6.626744,10,320.896538
7.0,10,321.295383
-2.676484,6,321.534983
-1.0,5,321.75691
9.0,9,322.016413
-1.379585,6,322.232451
8.62673,10,322.587844
9.0,9,322.947296
6.552057,11,323.317324
-2.0,4,323.463946
6.189711,11,323.867903
7.287456,12,324.497986
7.0,13,325.220243
-3.220202,4,325.391834
7.185069,11,325.804977
8.62673,10,326.130228
7.550194,10,326.504853
-0.931455,6,326.66112
-0.373185,7,326.976284
-2.743026,11,327.40879
-1.0,5,327.550827
-1.379585,6,327.931387
6.536747,11,328.257916
-1.700382,7,328.586702
7.62673,10,329.033769
-4.449931,11,329.587121
0.0,5,329.864889
0.0,6,330.029319
-4.0,2,330.127436
8.618513,10,330.323256
-1.0,5,330.504777
10.0,10,330.80621
4.821909,12,331.248902
-2.370348,6,331.548838
7.552044,10,332.003827
6.538722,10,332.501667
3.53632,13,333.043841
-1.379585,6,333.329324
7.259887,10,333.724053
6.095895,12,334.173763
4.618836,13,334.618096
2.539293,8,334.97327
-1.372771,6,335.096084
9.0,9,335.362524
8.617423,10,335.77507
-3.039763,6,335.961915
-1.372771,6,336.190436
-0.946861,6,336.477157
-2.016341,8,336.890941
9.0,9,337.191327
8.0,8,337.511692
4.0,13,338.339703
-0.666847,6,338.611284
-3.461025,8,339.107956
9.0,9,339.456746
7.177359,11,339.973187
8.618513,10,340.240501
-1.0,5,340.390964
9.0,9,340.686298
8.156327,13,341.453547
7.615917,9,341.83443
7.550179,13,342.264443
0.0,5,342.436809
9.0,9,342.726199
7.300606,10,343.165706
-2.526798,10,343.675267
8.549876,11,344.11717
-0.382068,7,344.328717
-3.395389,9,344.717511
7.61852,9,345.095392
-1.366575,6,345.342271
7.288122,10,345.784739
9.0,9,346.15975
8.618513,10,346.578701
7.459403,13,347.229035
1.0,6,347.489614
0.700013,6,347.73737
-2.463734,12,348.311552
-2.373197,6,348.575101
5.914217,11,348.917267
-1.0,5,349.170719
-1.366575,6,349.427481
5.0,13,350.167615
5.156414,12,350.56118
-1.0,5,350.903138
-1.0,6,351.103733
6.616343,11,351.569317
8.617423,10,351.89542
-2.687862,6,352.032862
9.0,9,352.275834
7.25046,10,352.695919
8.0,8,353.019393
3.129518,13,353.468115
8.550182,11,353.944364
-2.449806,8,354.191584
10.0,10,354.53405
-2.0,5,354.762851
6.538722,10,355.076254
9.0,9,355.369646
-1.0,5,355.484728
-1.0,5,355.640032
10.0,10,355.937121
8.538657,12,356.374428
7.525491,12,356.856736
-1.0,6,357.086402
5.14985,13,357.814628
-0.666847,6,358.078346
-0.740575,8,358.42837
0.0,5,358.589679
0.158681,6,358.726617
-0.381164,7,359.0117
-1.318719,6,359.163131
7.61852,9,359.677375
6.115429,11,360.291349
-1.0,5,360.502452
8.62673,10,361.014385
9.0,9,361.265804
0.0,6,361.361305
8.618513,10,361.711263
7.0,9,362.027705
-2.316832,6,362.216064
-1.0,5,362.462954
-1.0,4,362.581937
7.550321,10,362.835686
-1.94673,5,363.044354
7.549949,10,363.319566
-1.0,6,363.512592
9.0,9,363.74418
-1.0,5,363.865824
-1.675491,5,364.083469
-1.0,5,364.24948
-2.0,5,364.41236
-1.372771,6,364.658705
7.287531,10,365.067623
-1.684108,7,365.240878
-5.0,1,365.268663
-5.0,1,365.323054
-1.0,5,365.448105
3.615832,11,365.804762
5.030526,13,366.445536
5.089139,13,366.903833
10.0,10,367.235221
0.0,6,367.578146
7.473313,11,368.083757
8.62673,10,368.50142
-1.0,5,368.666505
8.552805,11,369.118208
-1.0,6,369.269682
-2.365057,7,369.561965
0.0,6,369.757782
-1.0,5,369.956547
