#{"t_start": 1763702262.0168269, "env_id": "Team7-v0"}
r,l,t
28.92381,40,2143.946402
4.0,7,2144.884713
22.333333,34,2149.359088
4.4,7,2150.294717
10.057143,15,2152.230457
27.428571,40,2157.664166
15.761905,23,2160.482658
28.514286,40,2165.410404
5.933333,9,2166.590716
13.085714,19,2169.144631
14.009524,22,2171.984212
29.238095,40,2176.692451
28.590476,40,2181.837009
26.666667,40,2187.064886
15.466667,22,2189.994985
8.104762,12,2191.607143
28.714286,40,2197.03006
8.666667,14,2198.86858
28.542857,40,2203.929835
9.333333,14,2205.746909
28.609524,40,2210.813988
27.314286,40,2215.905388
7.847619,12,2217.486809
17.657143,26,2220.941372
27.057143,40,2225.872232
21.342857,32,2229.907774
29.161905,40,2234.992367
4.466667,7,2235.93372
4.742857,8,2237.009707
10.914286,16,2239.26375
13.733333,21,2242.103089
20.380952,31,2246.122513
12.914286,19,2248.560671
4.009524,7,2249.525986
10.990476,17,2251.824452
27.933333,40,2256.972336
18.228571,28,2260.445762
11.819048,18,2262.935095
20.609524,30,2267.01528
12.72381,19,2269.471935
6.704762,11,2270.960957
22.990476,34,2275.478481
27.295238,40,2280.549622
4.185109,7,2281.47639
17.52381,25,2284.689417
27.038095,40,2289.659353
27.590476,40,2294.899819
26.67619,40,2300.167245
29.266667,40,2305.464473
28.447619,40,2310.540464
14.247619,22,2313.428026
9.285714,14,2315.293004
28.819048,40,2320.37004
18.838095,29,2324.063108
11.017021,16,2326.176062
10.666667,17,2328.459822
13.219048,19,2330.968181
13.266667,19,2333.493972
17.333333,25,2336.768637
27.428571,40,2341.898581
28.647619,40,2346.695468
9.47619,15,2348.71845
15.180952,22,2351.474204
5.504762,9,2352.666648
17.666667,25,2355.72353
6.2,10,2357.028805
19.333333,28,2360.619956
11.371429,18,2363.024233
10.352381,16,2365.204933
10.457143,16,2367.307288
6.285714,10,2368.644439
7.4,11,2370.111877
10.761905,17,2372.260172
24.095238,34,2376.605759
12.514286,18,2379.018899
17.780952,27,2382.465688
27.314286,40,2387.575253
16.714286,25,2390.793597
14.0,20,2393.404154
26.989597,40,2398.545291
10.508919,16,2400.63481
17.67619,26,2403.847556
27.409524,40,2408.764816
22.419048,32,2412.639363
13.580952,20,2415.217855
13.333333,21,2418.020585
6.380952,10,2419.399849
16.952381,25,2422.673656
22.67619,35,2426.964561
4.0,7,2427.8946
7.361905,11,2429.333093
4.390476,7,2430.253071
14.333333,21,2432.935432
16.32381,25,2436.078156
27.790476,40,2440.787951
14.057143,22,2443.633915
13.457143,20,2446.295647
19.038095,27,2449.764596
12.028571,19,2452.233145
28.12381,40,2457.168864
17.666667,25,2460.411935
19.609524,30,2464.324297
29.247619,40,2469.089061
6.666667,11,2470.540076
12.733333,19,2473.102003
17.008291,24,2476.391353
15.009524,23,2479.271871
8.085714,12,2480.839818
19.942857,29,2484.50952
17.87619,26,2487.840501
16.371429,25,2491.005515
9.961905,15,2492.960518
17.904762,26,2496.333267
13.752381,20,2498.984983
11.228571,17,2501.232645
10.704762,17,2503.437513
26.952381,40,2508.642477
13.619048,20,2511.237337
28.666667,40,2516.430823
6.552381,10,2517.769997
10.152381,16,2519.976042
8.133333,13,2521.737183
23.657143,36,2526.427652
22.752381,32,2530.558836
26.72381,40,2535.580391
9.466667,14,2537.459605
27.878524,39,2542.117868
18.609524,28,2545.672313
28.409524,40,2550.534278
28.380952,40,2555.367325
11.380952,18,2557.652209
8.495238,13,2559.377885
5.419048,9,2560.560243
18.87619,27,2563.992131
16.285714,25,2567.252322
28.67619,40,2572.386825
5.67619,9,2573.631784
11.419048,18,2576.123975
8.866667,13,2577.857699
28.885714,40,2582.75187
10.0,16,2584.891067
14.295238,21,2587.50393
10.190476,15,2589.41136
5.571429,9,2590.605477
16.12381,23,2593.597766
18.266667,28,2597.171159
27.428571,40,2602.192892
27.247619,40,2606.755768
17.657143,26,2609.964472
10.761905,16,2612.034636
19.095238,27,2615.40838
4.133333,7,2616.336545
15.27619,23,2619.20236
22.628571,32,2623.139752
8.980952,14,2624.950562
27.790476,40,2629.727714
18.390476,27,2632.997786
16.590476,25,2636.455911
28.085714,40,2641.246323
17.019048,26,2644.596945
28.190476,40,2649.633436
26.666667,40,2654.372982
28.571429,40,2659.185168
27.67619,40,2664.000319
25.428571,36,2668.50197
23.742857,36,2672.791345
17.428571,25,2675.884304
27.885714,40,2680.956856
27.689871,40,2686.155697
25.0,37,2690.474299
9.019048,14,2692.297554
5.504762,9,2693.498128
27.2,40,2698.570663
13.52381,21,2701.245067
5.847619,9,2702.465707
9.619048,15,2704.41493
9.409524,14,2706.271043
19.857143,30,2710.234836
13.542857,20,2712.917433
13.957829,20,2715.507174
24.32381,36,2720.050421
20.209524,31,2723.914948
19.32381,28,2727.389644
5.2,8,2728.437562
18.4,26,2731.730992
23.619048,34,2736.142408
25.0,35,2740.499594
28.419048,40,2745.429272
15.352381,22,2748.270592
9.438095,14,2750.114009
20.733333,30,2753.866992
12.314286,18,2756.435997
14.533333,21,2759.194867
9.333333,15,2761.201485
20.0,31,2765.128902
25.4,39,2769.904629
15.847619,24,2773.100424
11.466667,18,2775.527326
28.361905,40,2780.590153
28.390476,40,2785.632617
6.771429,11,2787.251376
14.304762,21,2790.225049
4.466667,7,2791.189747
4.742857,8,2792.272218
13.428571,20,2794.925388
18.152381,26,2798.482092
9.428571,14,2800.3815
14.133333,21,2803.178366
10.828571,16,2805.342655
5.504762,9,2806.587375
28.457143,40,2811.658835
11.419048,18,2814.042461
28.190476,40,2819.464674
28.066667,40,2824.198844
8.047619,13,2825.912499
5.2,8,2826.959585
11.542857,17,2829.08689
11.857143,18,2831.427349
28.952381,40,2836.300632
27.485714,40,2841.060873
28.571429,40,2845.919937
27.209524,40,2850.659966
16.92381,24,2854.230939
18.4,26,2858.073926
17.409524,26,2861.997966
18.295238,26,2866.290871
9.628571,15,2868.718047
22.27619,33,2874.285698
6.666667,11,2876.405641
19.542857,28,2880.485976
6.628571,10,2881.842493
7.4,11,2883.29488
10.12381,16,2885.340199
27.809524,40,2890.438852
14.419048,22,2893.481048
17.847619,27,2897.264238
6.666667,11,2898.740803
29.066667,40,2903.942543
18.371429,26,2907.415844
11.333333,18,2909.853232
2.952381,5,2910.646157
29.333333,40,2916.412579
5.419048,9,2917.625046
28.190476,40,2923.061027
12.533333,18,2925.524675
19.133333,27,2928.900989
18.704762,29,2932.893163
26.695238,40,2938.149667
3.504762,6,2938.975593
16.971429,26,2942.270663
6.190476,10,2943.608702
28.571429,40,2948.378036
27.571429,40,2953.509313
12.409524,19,2956.158643
28.952381,40,2961.104702
28.695238,40,2966.425094
26.914286,40,2971.724704
5.2,8,2972.868315
6.190476,10,2974.252006
27.809524,40,2979.483906
12.857143,20,2982.183114
10.047619,15,2984.154703
6.038095,10,2985.497291
10.990476,17,2987.726564
28.428571,40,2992.877358
28.952381,40,2997.896771
7.333333,12,2999.440619
8.057143,12,3001.101283
28.447619,40,3005.988102
20.885714,31,3010.080669
11.990476,18,3012.468126
15.409524,24,3015.637064
15.104762,23,3018.729322
12.742857,20,3021.485603
29.333333,40,3026.459805
27.047619,40,3031.693651
4.895238,8,3032.86108
28.685714,40,3038.161897
13.209524,20,3040.818595
20.190476,30,3044.282861
28.628571,40,3049.194232
10.914286,16,3051.560714
27.54519,40,3056.884841
13.933333,21,3059.760426
4.742857,8,3060.844102
19.6,28,3064.565746
3.333333,6,3065.366736
16.704762,24,3068.607896
9.066667,14,3070.42865
17.019048,26,3073.867509
5.2,8,3074.953529
5.12381,8,3076.030104
10.828571,17,3078.22825
22.0,34,3082.389613
25.409524,37,3086.998851
9.904762,15,3089.000772
18.0,26,3092.41467
18.228571,27,3095.685687
27.809524,40,3100.982139
28.542857,40,3105.98068
7.561905,12,3107.643599
10.866667,17,3109.930448
5.333333,9,3111.163186
18.8,28,3115.039388
