#{"t_start": 1764374475.2067072, "env_id": "intersection-v1"}
r,l,t
-1.0,5,451.134899
9.0,9,451.692823
-1.0,5,451.995791
1.0,6,452.38579
-1.84084,4,452.774115
-0.57992,5,453.295565
-1.0,5,453.748972
10.0,10,454.283671
0.0,6,454.639814
9.0,9,455.113312
-1.0,5,455.448843
0.0,6,455.697663
9.0,9,455.981674
3.0,9,456.706114
0.0,6,457.14715
9.0,9,457.520656
0.0,6,457.946123
-2.0,4,458.341656
0.0,6,458.631572
8.62673,10,459.095634
8.0,8,459.565435
-2.0,4,459.893825
10.0,10,460.460641
-1.57953,4,460.795466
9.0,9,461.362592
0.700013,6,461.759899
8.615844,10,462.369621
-1.0,5,463.696263
0.0,5,464.113062
10.0,10,464.884923
-1.0,5,465.177523
9.0,9,465.64965
9.0,9,466.260742
9.0,9,466.684932
9.0,9,467.205829
9.0,9,467.891213
9.0,9,468.493015
10.0,10,469.467233
0.0,5,469.694963
10.0,10,470.758235
9.0,9,471.216071
0.0,6,471.537135
9.0,9,472.211171
10.0,10,473.028923
9.0,9,473.513691
9.0,9,474.213758
10.0,10,475.117397
0.0,6,475.562975
0.0,6,476.129852
10.0,10,476.619444
8.0,8,476.964123
9.0,9,477.464288
-1.84084,4,477.740112
7.54087,11,478.455665
-1.0,5,478.708684
8.0,8,479.431479
10.0,10,479.971128
9.0,9,480.531473
-1.0,5,480.874574
9.0,9,481.432256
10.0,10,482.068384
10.0,10,482.79382
9.0,9,483.297912
8.0,8,483.804442
0.0,6,484.153743
10.0,10,484.682387
10.0,10,485.208271
10.0,10,486.113987
-1.447446,6,486.378782
9.0,9,486.85746
-2.577249,3,487.050202
8.0,8,487.582709
9.0,9,487.965834
-1.0,5,488.2209
7.550194,10,489.002216
1.550194,10,489.968457
9.0,9,490.481384
9.0,9,491.317772
-1.0,5,491.597789
0.0,6,491.964892
9.0,9,492.327422
10.0,10,493.179468
-1.0,5,493.426094
9.0,9,493.823892
-3.0,6,494.214336
8.0,8,494.723006
0.0,6,495.016015
-0.57992,5,495.465317
9.0,9,496.050538
0.0,6,496.392313
9.0,9,497.059801
-1.84084,4,498.507664
10.0,10,499.168604
-1.0,5,499.503569
9.0,9,500.258777
1.0,7,500.655492
1.0,7,501.09016
10.0,10,501.983586
9.0,9,502.603557
-1.0,5,503.056157
9.0,9,503.837844
0.0,5,504.211256
-1.0,6,504.639253
9.0,9,505.614677
7.552044,10,506.381683
8.615645,10,507.148647
0.0,6,507.5234
-1.0,5,507.861155
-1.0,5,508.179751
10.0,10,508.640507
9.0,9,509.791303
9.0,9,510.242674
-1.0,5,510.461243
-1.0,5,510.747423
-0.57992,5,510.987743
9.0,9,511.599278
0.0,5,511.947172
0.0,5,512.356402
10.0,10,513.211854
9.0,9,513.935195
0.0,6,514.317425
8.0,8,514.909104
-3.0,3,515.197402
10.0,10,515.801316
0.0,6,516.437183
-1.0,5,516.716244
9.0,9,517.357646
0.0,6,517.862576
9.0,9,518.381698
10.0,10,519.043779
8.0,8,519.695446
0.0,6,520.110193
9.0,9,520.571336
9.0,9,521.104992
8.0,8,521.449243
10.0,10,521.995679
10.0,10,522.665912
0.0,6,523.077171
9.0,9,523.59902
0.0,6,524.009408
10.0,10,524.789001
8.0,8,525.233925
-0.299923,5,525.444728
0.0,6,526.094907
10.0,10,526.935955
10.0,10,527.391225
0.0,6,527.729597
-1.0,5,528.209881
0.0,6,528.597469
8.0,8,529.28642
10.0,10,529.87157
-1.0,4,530.177057
1.0,6,530.615861
-0.57992,5,530.80757
10.0,10,531.39622
9.0,9,531.958556
0.0,6,532.280467
10.0,10,532.724452
1.0,7,533.188003
9.615832,11,534.904675
9.0,9,535.482458
9.0,9,535.93396
-2.0,4,536.241195
-1.0,5,536.632457
9.0,9,537.027115
0.0,6,537.528411
10.0,10,538.05784
-2.0,4,538.393261
8.0,8,538.753803
-5.0,1,538.804368
0.0,6,539.333542
0.0,6,539.765074
9.0,9,540.342816
0.0,5,540.792291
9.0,9,541.373826
9.0,9,541.949725
-0.841249,5,542.441512
10.0,10,543.024348
9.0,9,543.58126
1.0,7,543.987433
0.0,6,544.434948
9.0,9,544.920403
2.0,8,545.460663
10.0,10,545.920058
-1.0,5,546.265991
9.0,9,546.573802
9.0,9,546.99875
-2.0,4,547.442548
9.0,9,548.10004
10.0,10,548.773032
10.0,10,549.678516
0.0,6,550.251809
9.0,9,551.095604
8.0,8,551.406365
9.0,9,552.019078
-1.0,5,552.401625
9.0,9,552.849772
9.0,9,553.46044
1.0,7,553.747296
9.0,9,554.023306
0.0,6,554.21582
10.0,10,554.765578
1.0,6,555.067329
9.0,9,555.800569
-1.0,5,556.21348
10.0,10,556.807481
0.0,6,557.029598
10.0,10,557.875568
9.0,9,558.688469
-1.0,5,559.055737
0.0,6,559.493058
9.0,9,559.859921
-1.0,5,560.221704
10.0,10,560.843858
-0.57992,5,561.112333
0.0,6,561.429719
10.0,10,562.241108
9.0,9,562.775204
9.0,9,563.474407
0.0,6,563.914725
10.0,10,564.724857
0.0,6,565.047685
0.0,6,565.324266
10.0,10,566.013279
-1.0,7,566.341684
0.0,6,566.688864
0.0,6,567.06017
-1.299552,4,567.219203
-1.0,5,568.818447
9.0,9,569.415562
10.0,10,570.247505
0.0,6,570.867604
9.0,9,571.400001
9.0,9,571.984431
8.0,8,572.633357
-2.0,4,573.002397
-1.0,5,573.273363
-0.841249,5,573.624311
-1.0,5,574.00987
10.0,10,574.928927
10.0,10,575.362154
9.0,9,576.658999
10.0,10,577.520491
-0.841249,5,577.860414
0.0,6,578.221272
0.700013,6,578.494442
-1.0,5,578.885898
-0.299923,5,579.330664
9.0,9,579.882835
0.0,6,580.173085
-1.0,5,580.708252
8.62673,10,581.499924
0.0,6,582.140642
7.562943,10,582.878827
0.0,6,583.23447
-1.0,4,583.505374
10.0,10,584.415404
9.0,9,585.248427
9.0,9,586.05279
0.0,6,586.643807
0.0,6,586.987801
-1.0,5,587.505424
0.0,6,587.93741
-0.841249,5,588.320944
1.0,6,588.868182
0.0,6,589.326364
0.0,6,589.830002
0.0,5,590.157053
9.0,9,591.184449
-1.0,5,591.647708
9.0,9,591.95364
0.0,5,592.220823
10.0,10,592.770713
-1.0,5,593.17593
9.0,11,593.951757
-0.299923,5,594.359461
9.0,9,595.019795
0.0,6,595.411439
0.0,6,595.671551
10.0,10,596.22196
0.0,6,596.513031
10.0,10,597.123349
8.615645,10,597.546295
9.0,9,597.902403
10.0,10,598.741966
9.0,9,599.245849
0.0,6,599.819476
9.0,9,601.134791
10.0,10,601.452478
-3.0,3,601.631051
0.0,6,601.996503
-1.0,4,602.353823
9.0,9,603.089428
10.0,10,604.160525
9.0,9,604.773989
9.0,9,605.286287
9.0,9,605.524003
0.0,6,605.93574
0.0,6,606.648823
0.0,6,608.44343
0.0,6,608.915646
9.0,9,609.609101
-1.0,5,609.94838
9.0,9,610.549502
0.0,6,610.993922
9.0,9,612.181832
8.0,8,612.606505
0.0,5,613.023744
0.700013,6,613.507792
8.552042,11,614.506296
0.0,6,615.123767
0.0,6,615.551273
10.0,10,616.285063
10.0,10,616.934371
9.0,9,617.623415
9.0,9,618.431263
9.0,9,618.961913
9.0,9,619.805581
8.0,8,620.247087
11.0,11,620.764283
0.0,6,621.025288
-1.0,5,621.572109
10.0,10,622.187078
0.0,6,622.44591
0.0,6,622.746462
-2.0,4,623.175693
0.0,5,623.584491
-2.0,4,623.998805
1.0,7,624.695618
10.0,10,625.311539
0.0,6,625.746229
-2.0,4,626.03153
9.0,9,626.749429
9.0,9,627.552859
-1.0,5,627.990939
0.0,6,628.597392
10.0,10,629.452247
-1.0,5,629.738605
0.0,6,630.382716
0.0,6,630.740505
1.0,7,631.119051
10.0,10,632.038188
0.0,6,632.549802
10.0,10,632.871418
-1.0,4,633.26204
-0.299923,5,633.521944
9.0,9,634.17261
-0.299923,5,634.689827
-1.299552,4,635.023152
0.0,6,635.52615
10.0,10,636.246059
9.0,9,636.865653
0.0,6,637.250112
9.0,9,637.74748
9.0,9,638.259369
9.0,9,638.864081
-0.299923,5,639.190181
10.0,10,639.679488
-0.841249,5,640.104255
1.0,7,640.398915
10.0,10,641.35488
0.0,6,641.718401
9.0,9,642.178606
10.0,10,642.710427
